sname,cname,NumCurrElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark
Envision Academy for Arts & Technology,Alameda,44,50.00,19,21.59,16,18.18
Alameda Science and Technology Institute,Alameda,42,97.67,41,95.35,41,95.35
Nea Community Learning Center,Alameda,14,73.68,7,36.84,7,36.84
Alameda High,Alameda,277,89.97,241,78.32,239,77.35
Alameda Community Learning Center,Alameda,26,78.79,24,72.73,24,72.73
Alternatives in Action,Alameda,2,11.76,1,5.88,1,5.88
Albany High,Alameda,156,93.98,148,89.16,146,87.95
REALM Charter High,Alameda,22,48.89,13,28.89,11,24.44
Berkeley High,Alameda,355,88.12,284,70.54,282,69.80
Castro Valley High,Alameda,425,92.19,360,78.09,352,76.36
Emery Secondary,Alameda,13,52.00,6,24.00,6,24.00
American High,Alameda,336,97.13,314,90.83,312,89.40
Irvington High,Alameda,406,94.95,392,91.74,390,89.45
John F. Kennedy High,Alameda,152,80.00,113,59.47,109,57.37
Mission San Jose High,Alameda,407,99.53,401,98.14,420,97.90
Washington High,Alameda,283,94.65,238,79.60,235,78.60
Leadership Public Schools - Hayward,Alameda,94,69.63,66,48.89,63,46.67
Impact Academy of Arts & Technology,Alameda,54,51.92,33,31.73,31,29.81
Hayward High,Alameda,114,65.52,67,38.51,61,35.06
Mt. Eden High,Alameda,141,69.80,91,45.05,85,42.08
Tennyson High,Alameda,60,63.83,40,42.55,38,40.43
Granada High,Alameda,262,91.29,231,80.49,220,76.66
Livermore High,Alameda,218,94.37,175,75.76,175,75.76
Newark Memorial High,Alameda,167,82.27,107,52.71,102,50.25
James Logan High,Alameda,409,84.89,319,66.25,310,64.18
Oakland Unity High,Alameda,19,32.76,15,25.86,11,18.97
MetWest High,Alameda,24,54.55,7,15.91,7,15.91
Bay Area Technology,Alameda,13,48.15,6,22.22,6,22.22
Lighthouse Community Charter High,Alameda,34,62.96,24,44.44,20,37.04
McClymonds High,Alameda,16,22.86,2,2.86,2,2.86
American Indian Public High,Alameda,59,83.10,59,83.10,53,74.65
Coliseum College Prep Academy,Alameda,22,36.67,13,21.67,9,15.00
Oakland Charter High,Alameda,90,81.82,83,75.45,77,70.00
ARISE High,Alameda,19,35.85,9,16.98,8,15.09
Oakland International High,Alameda,6,13.95,4,9.30,1,2.33
Aspire Golden State College Preparatory Academy,Alameda,29,69.05,16,38.10,16,38.10
Ralph J. Bunche High,Alameda,2,11.11,1,5.56,1,5.56
Castlemont High,Alameda,9,10.47,3,3.49,2,2.33
Fremont High,Alameda,24,19.67,6,4.92,3,2.46
LPS Oakland R & D Campus,Alameda,19,36.54,11,21.15,10,19.23
Street Academy (Alternative),Alameda,3,15.00,1,5.00,1,5.00
LIFE Academy,Alameda,19,29.23,6,9.23,4,6.15
"Oakland Military Institute, College Preparatory Ac",Alameda,44,53.01,24,28.92,22,26.51
Aspire Lionel Wilson College Preparatory Academy,Alameda,17,70.83,10,41.67,10,41.67
Conservatory of Vocal/Instrumental Arts High,Alameda,11,73.33,10,66.67,9,60.00
Oakland High,Alameda,128,44.44,65,22.57,54,18.75
Oakland Technical High,Alameda,307,75.06,218,53.30,209,51.10
Skyline High,Alameda,159,44.66,80,22.47,74,20.79
Oakland School for the Arts,Alameda,66,88.00,34,45.33,34,45.33
Madison Park Academy 6-12,Alameda,28,34.15,12,14.63,9,10.98
"Independent Study, Sojourner Truth",Alameda,9,47.37,2,10.53,2,10.53
Piedmont High,Alameda,122,98.39,114,91.94,113,91.13
San Leandro High,Alameda,245,68.44,154,43.02,142,39.66
KIPP King Collegiate High,Alameda,75,77.32,54,55.67,50,51.55
Arroyo High,Alameda,177,80.09,143,64.71,134,60.63
San Lorenzo High,Alameda,70,50.36,47,33.81,37,26.62
Dublin High,Alameda,422,81.07,347,66.73,336,64.24
Foothill High,Alameda,332,95.73,306,88.32,307,87.46
Amador Valley High,Alameda,455,97.45,431,92.36,429,91.08
Amador High,Amador,37,92.50,33,82.50,33,82.50
Argonaut High,Amador,42,87.50,27,56.25,26,54.17
CORE Butte Charter,Butte,20,90.91,17,77.27,16,72.73
Inspire School of Arts and Sciences,Butte,38,88.37,31,72.09,30,69.77
Chico High,Butte,157,87.22,134,74.44,129,71.67
Pleasant Valley High,Butte,155,90.17,140,81.50,135,78.03
Durham High,Butte,30,83.33,15,41.67,13,36.11
Las Plumas High,Butte,42,80.77,28,53.85,26,50.00
Oroville High,Butte,34,77.27,26,59.09,25,56.82
Paradise Senior High,Butte,44,86.27,40,78.43,39,76.47
Gridley High,Butte,36,90.00,31,77.50,28,70.00
Bret Harte Union High,Calaveras,57,90.48,47,74.60,45,71.43
Calaveras High,Calaveras,71,82.56,60,69.77,57,66.28
Colusa High,Colusa,29,69.05,24,57.14,22,52.38
Pierce High,Colusa,20,55.56,14,38.89,13,36.11
Williams Junior/Senior High,Colusa,17,43.59,6,15.38,5,12.82
Making Waves Academy,Contra Costa,39,54.17,29,40.28,24,33.33
Clayton Valley Charter High,Contra Costa,254,91.70,185,66.79,178,64.26
Acalanes High,Contra Costa,202,96.21,192,91.47,191,90.52
Campolindo High,Contra Costa,144,95.39,136,90.13,137,90.13
Las Lomas High,Contra Costa,200,95.24,180,85.71,177,84.29
Miramonte High,Contra Costa,180,97.31,167,90.32,167,89.78
Dozier-Libbey Medical High,Contra Costa,63,85.14,39,52.70,38,51.35
Deer Valley High,Contra Costa,194,79.18,126,51.43,124,50.61
Antioch High,Contra Costa,61,62.89,37,38.14,34,35.05
John Swett High,Contra Costa,32,57.14,31,55.36,26,46.43
Heritage High,Contra Costa,322,90.20,219,61.34,213,59.66
Freedom High,Contra Costa,212,74.65,108,38.03,105,36.97
Liberty High,Contra Costa,228,82.91,150,54.55,145,52.73
Alhambra Senior High,Contra Costa,107,84.92,94,74.60,89,70.63
Northgate High,Contra Costa,167,94.38,151,85.39,148,83.15
College Park High,Contra Costa,233,89.96,198,76.45,190,73.36
Concord High,Contra Costa,121,78.06,76,49.03,74,47.74
Mt. Diablo High,Contra Costa,58,54.21,34,31.78,32,29.91
Ygnacio Valley High,Contra Costa,51,59.30,25,29.07,23,26.74
Pittsburg Senior High,Contra Costa,210,63.44,104,31.42,93,28.10
Leadership Public Schools: Richmond,Contra Costa,51,41.80,29,23.77,21,17.21
John Henry High,Contra Costa,15,53.57,9,32.14,9,32.14
Middle College High,Contra Costa,64,88.89,42,58.33,42,58.33
Vista High (Alternative),Contra Costa,12,44.44,3,11.11,3,11.11
Hercules High,Contra Costa,138,64.49,83,39.25,73,34.11
De Anza High,Contra Costa,114,38.64,37,12.54,36,12.20
El Cerrito High,Contra Costa,150,56.39,114,42.86,105,39.47
John F. Kennedy High,Contra Costa,37,23.42,9,5.70,8,5.06
Pinole Valley High,Contra Costa,120,46.88,63,24.61,59,23.05
Richmond High,Contra Costa,79,30.38,28,10.77,24,9.23
Dougherty Valley High,Contra Costa,576,97.70,546,92.78,560,91.95
California High,Contra Costa,412,94.75,385,88.58,379,86.53
Monte Vista High,Contra Costa,325,97.01,292,87.16,288,85.97
San Ramon Valley High,Contra Costa,232,96.28,207,85.95,206,85.12
Del Norte High,Del Norte,56,77.78,42,58.33,39,54.17
Charter Community School Home Study Academy,El Dorado,14,93.33,9,60.00,8,53.33
Oak Ridge High,El Dorado,368,93.40,334,84.77,327,82.99
Union Mine High,El Dorado,74,89.16,65,78.31,61,73.49
El Dorado High,El Dorado,92,85.98,80,74.77,75,70.09
Ponderosa High,El Dorado,165,90.27,160,87.57,151,81.62
South Tahoe High,El Dorado,89,85.71,72,69.52,70,66.67
Golden Sierra Junior Senior High,El Dorado,28,93.33,22,73.33,21,70.00
Clovis North High,Fresno,333,90.00,280,75.68,271,73.24
Clovis Online Charter,Fresno,17,89.47,8,42.11,7,36.84
Clovis West High,Fresno,240,85.46,173,61.70,168,59.57
Buchanan High,Fresno,348,89.46,259,66.58,254,65.30
Clovis East High,Fresno,233,77.41,145,48.17,138,45.85
Clovis High,Fresno,272,81.44,209,62.57,194,58.08
Coalinga High,Fresno,38,64.41,20,33.90,16,27.12
Fowler High,Fresno,61,54.95,24,21.62,20,18.02
Design Science Middle College High,Fresno,43,70.49,33,54.10,30,49.18
University High,Fresno,100,99.03,88,86.41,88,85.44
Phillip J Patino School of Entrepreneurship,Fresno,48,57.83,23,27.71,19,22.89
Bullard High,Fresno,273,59.74,148,32.39,136,29.76
Erma Duncan Polytechnical High,Fresno,89,44.72,39,19.60,30,15.08
Sunnyside High,Fresno,208,39.62,82,15.62,66,12.57
Edison High,Fresno,343,65.90,203,39.08,198,37.93
Fresno High,Fresno,162,45.76,68,19.21,62,17.51
Herbert Hoover High,Fresno,143,44.69,69,21.56,58,18.13
McLane High,Fresno,64,24.52,21,8.05,13,4.98
Roosevelt High,Fresno,115,31.77,27,7.46,22,6.08
Kingsburg High,Fresno,92,73.02,73,57.94,69,54.76
Orange Cove High,Fresno,42,56.76,13,17.57,11,14.86
Reedley Middle College High,Fresno,18,72.00,9,36.00,8,32.00
Reedley High,Fresno,100,73.53,60,44.12,57,41.91
Parlier High,Fresno,29,28.43,15,14.71,11,10.78
Hallmark Charter,Fresno,12,70.59,7,41.18,7,41.18
Sanger High,Fresno,222,63.79,118,33.91,111,31.90
Selma High,Fresno,110,60.11,69,37.70,61,33.33
Firebaugh High,Fresno,35,42.17,9,10.84,8,9.64
Central High East Campus,Fresno,269,68.10,151,38.23,144,36.46
Kerman High,Fresno,113,65.70,49,28.49,45,26.16
Mendota High,Fresno,28,40.00,12,17.14,10,14.29
Tranquillity High,Fresno,17,36.17,7,14.89,7,14.89
Sierra High,Fresno,41,83.67,35,71.43,35,71.43
Riverdale High,Fresno,37,53.62,17,24.64,14,20.29
Caruthers High,Fresno,28,51.85,15,27.78,14,25.93
Washington High,Fresno,57,42.86,30,22.56,24,18.05
Willows High,Glenn,25,78.13,15,46.88,15,46.88
Orland High,Glenn,21,52.50,11,27.50,9,22.50
Hamilton High,Glenn,18,72.00,11,44.00,11,44.00
Pacific Coast High (Continuation),Humboldt,24,92.59,20,74.07,19,70.37
Arcata High,Humboldt,88,92.63,69,72.63,68,71.58
McKinleyville High,Humboldt,50,92.59,35,64.81,34,62.96
Academy of the Redwoods,Humboldt,16,84.21,15,78.95,15,78.95
Fortuna Union High,Humboldt,49,77.78,28,44.44,25,39.68
Hoopa Valley High,Humboldt,15,60.00,5,20.00,4,16.00
South Fork Junior - Senior High,Humboldt,17,80.95,14,66.67,14,66.67
Eureka Senior High,Humboldt,60,76.92,51,65.38,45,57.69
Brawley Union High,Imperial,104,67.10,60,38.71,57,36.77
Calexico High,Imperial,151,68.64,97,44.09,84,38.18
Calipatria High,Imperial,24,77.42,16,51.61,15,48.39
Southwest High,Imperial,159,77.56,106,51.71,101,49.27
Central Union High,Imperial,77,77.78,47,47.47,42,42.42
Holtville High,Imperial,34,65.38,18,34.62,17,32.69
Imperial High,Imperial,73,77.66,43,45.74,42,44.68
College Bridge Academy,Inyo,5,17.86,1,3.57,1,3.57
Bishop Union High,Inyo,42,79.25,29,54.72,27,50.94
Wonderful College Prep Academy,Kern,49,56.32,16,18.39,14,16.09
Cesar E. Chavez High,Kern,96,60.00,68,42.50,57,35.63
Robert F. Kennedy High,Kern,85,56.67,51,34.00,48,32.00
Delano High,Kern,98,60.12,51,31.29,46,28.22
Golden Valley High,Kern,113,52.07,62,28.57,55,25.35
Frontier High,Kern,227,84.39,168,62.45,164,60.97
Independence High,Kern,157,72.69,93,43.06,90,41.67
Mira Monte High,Kern,97,47.78,25,12.32,24,11.82
Arvin High,Kern,117,53.92,51,23.50,46,21.20
Stockdale High,Kern,255,85.62,202,67.89,197,65.89
Centennial High,Kern,201,84.45,158,66.39,148,62.18
Ridgeview High,Kern,163,62.21,91,34.73,86,32.82
Liberty High,Kern,178,77.39,142,61.74,132,57.39
Bakersfield High,Kern,126,67.38,100,53.48,91,48.66
East Bakersfield High,Kern,66,44.90,35,23.81,31,21.09
Foothill High,Kern,64,50.79,41,32.54,36,28.57
Highland High,Kern,138,68.66,87,43.28,85,42.29
Kern Valley High,Kern,17,90.00,12,60.00,12,60.00
North High,Kern,66,58.77,26,22.81,24,21.05
Shafter High,Kern,67,60.91,42,38.18,37,33.64
South High,Kern,119,48.97,75,30.86,68,27.98
West High,Kern,94,60.65,49,31.61,46,29.68
California City High,Kern,24,82.76,12,41.38,12,41.38
Desert Junior-Senior High,Kern,33,84.62,23,58.97,22,56.41
Rosamond High Early College Campus,Kern,27,71.05,14,36.84,14,36.84
Taft Union High,Kern,30,63.83,16,34.04,14,29.79
Tehachapi High,Kern,77,86.67,55,62.22,52,57.78
Wasco High,Kern,69,46.00,35,23.33,32,21.33
Burroughs High,Kern,99,90.00,75,68.18,74,67.27
McFarland High,Kern,50,37.31,21,15.67,20,14.93
Frazier Mountain High,Kern,18,78.26,10,43.48,10,43.48
Corcoran High,Kings,29,41.43,13,18.57,10,14.29
Sierra Pacific High,Kings,51,92.73,32,58.18,32,58.18
Hanford West High,Kings,70,64.81,49,45.37,45,41.67
Hanford High,Kings,56,64.37,35,40.23,31,35.63
Lemoore Middle College High,Kings,28,75.68,15,40.54,15,40.54
